                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7769,                 3.5054,                   2.68,                0.00303,                0.95238,                0.10156,                0.03706,                 2.5375,                  3.812,                 2.6331,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.6862,                 3.5165,                 2.6136,                0.00303,                0.95238,                0.11039,                0.04272,                 2.5728,                 3.7769,                 2.6343,             9.8763e-05,             9.8763e-05,             9.8763e-05
                      3,                 2.5493,                 3.4703,                 2.5096,                0.00318,                      1,                0.27154,                0.12234,                 2.0249,                  3.767,                 2.1364,             0.00015604,             0.00015604,             0.00015604
                      4,                 2.0911,                  3.031,                 2.0958,                0.00288,                0.90476,                0.48145,                0.16111,                 1.6667,                 3.3809,                 1.9014,             0.00021183,             0.00021183,             0.00021183
                      5,                 1.7205,                 2.4733,                 1.7752,                0.00303,                0.95238,                0.46414,                0.19562,                 1.5267,                 3.2059,                 1.7344,             0.00026614,             0.00026614,             0.00026614
                      6,                  1.706,                  2.272,                 1.6587,                0.00318,                      1,                0.67153,                0.28273,                 1.5227,                 3.1709,                 1.7343,             0.00031896,             0.00031896,             0.00031896
                      7,                 1.5489,                 2.2373,                  1.631,                0.00303,                0.95238,                0.38302,                0.15973,                 1.6804,                 3.3013,                 1.7523,              0.0003703,              0.0003703,              0.0003703
                      8,                 1.4792,                 2.1045,                 1.4998,                0.30652,                0.66667,                  0.572,                0.24656,                 1.6597,                 3.1071,                 1.6956,             0.00042015,             0.00042015,             0.00042015
                      9,                 1.5476,                 2.0793,                 1.5646,                0.00288,                0.90476,                0.48887,                0.21039,                 1.7323,                 3.2127,                  1.835,             0.00046852,             0.00046852,             0.00046852
                     10,                  1.461,                 1.9094,                 1.4753,                0.00273,                0.85714,                0.41606,                0.20432,                 1.7077,                 3.2084,                 1.7331,              0.0005154,              0.0005154,              0.0005154
                     11,                 1.4135,                 1.8271,                  1.482,                0.58945,                0.14286,                0.34909,                 0.1641,                 1.9941,                 3.3797,                 1.9052,              0.0005608,              0.0005608,              0.0005608
                     12,                 1.5309,                 2.0831,                 1.5767,                0.38825,                0.33333,                0.32394,                 0.1556,                 2.1561,                 3.3888,                 2.0277,             0.00060471,             0.00060471,             0.00060471
                     13,                 1.4276,                  1.819,                 1.4789,                0.63304,                0.19048,                0.37261,                0.15399,                 2.0676,                 3.2569,                 1.8421,             0.00064714,             0.00064714,             0.00064714
                     14,                  1.452,                 1.7988,                 1.4747,                0.75037,                0.52381,                0.52319,                0.19572,                 2.0718,                 3.1654,                 2.2015,             0.00068808,             0.00068808,             0.00068808
                     15,                 1.5543,                 1.8366,                 1.6201,                0.62748,                0.38095,                0.38782,                0.15401,                 2.2004,                 3.1831,                 2.2567,             0.00072754,             0.00072754,             0.00072754
                     16,                 1.5023,                  1.725,                 1.5454,                0.53901,                0.33413,                0.42296,                0.15051,                 2.2833,                 3.1285,                 2.4006,             0.00076551,             0.00076551,             0.00076551
                     17,                 1.5384,                  1.745,                 1.5029,                0.47072,                0.42375,                0.32974,                0.08658,                 2.3111,                 3.2018,                 2.6226,               0.000802,               0.000802,               0.000802
                     18,                 1.5093,                  1.615,                 1.4823,                0.70211,                0.33333,                0.43569,                0.13311,                 2.1775,                 2.8469,                 2.4497,               0.000837,               0.000837,               0.000837
                     19,                 1.3361,                 1.5683,                 1.4122,                0.68917,                0.42857,                0.47305,                0.16711,                 2.1786,                 2.8905,                  2.465,             0.00087052,             0.00087052,             0.00087052
                     20,                 1.4829,                 1.6401,                 1.4513,                0.46192,                0.47619,                0.54037,                0.20657,                 2.1199,                 2.8969,                 2.3142,             0.00090255,             0.00090255,             0.00090255
                     21,                 1.3902,                 1.5363,                 1.3792,                 0.7283,                0.47619,                 0.6318,                0.25026,                 2.0125,                 2.7023,                  2.087,              0.0009331,              0.0009331,              0.0009331
                     22,                 1.3212,                 1.4998,                 1.3308,                0.93718,                0.71058,                0.83557,                0.29377,                 1.9016,                 2.1409,                 1.8895,             0.00096216,             0.00096216,             0.00096216
                     23,                 1.4108,                 1.5212,                 1.3552,                0.86822,                0.71429,                0.82848,                0.32164,                 1.8991,                 1.9572,                 1.8866,             0.00098974,             0.00098974,             0.00098974
                     24,                  1.469,                 1.5281,                  1.432,                 0.7962,                0.61905,                0.64414,                 0.2618,                 1.9431,                 2.0985,                 2.0581,              0.0010158,              0.0010158,              0.0010158
                     25,                 1.4687,                  1.464,                 1.3991,                0.68381,                0.52381,                0.57831,                0.22061,                 1.9261,                 2.1735,                  2.089,              0.0010404,              0.0010404,              0.0010404
                     26,                 1.4342,                 1.4641,                 1.3881,                0.60679,                0.42857,                0.48882,                0.18597,                 2.0175,                 2.3053,                 2.2482,              0.0010636,              0.0010636,              0.0010636
                     27,                 1.4562,                 1.4914,                 1.4193,                0.59752,                0.57143,                0.45447,                0.18611,                 2.1121,                 2.2992,                 2.3074,              0.0010852,              0.0010852,              0.0010852
                     28,                 1.3475,                  1.395,                 1.3787,                0.58813,                0.42857,                0.45622,                0.21234,                 1.9251,                 2.2355,                 1.9702,              0.0011054,              0.0011054,              0.0011054
                     29,                 1.3689,                 1.3954,                 1.3476,                0.60653,                0.47619,                0.49944,                0.22224,                 1.9925,                 2.2707,                 2.0021,               0.001124,               0.001124,               0.001124
                     30,                 1.4488,                 1.4504,                 1.4475,                0.91506,                0.42857,                0.52355,                0.23934,                 2.1508,                 2.1505,                 2.0352,              0.0011412,              0.0011412,              0.0011412
                     31,                    1.4,                 1.3435,                 1.3768,                0.88575,                0.37021,                0.48326,                0.27386,                 2.0492,                  2.189,                 2.0291,              0.0011569,              0.0011569,              0.0011569
                     32,                 1.3941,                 1.3627,                 1.4293,                0.60111,                0.71773,                0.68011,                0.30699,                  2.145,                 1.9875,                 2.2048,              0.0011711,              0.0011711,              0.0011711
                     33,                  1.404,                 1.3556,                 1.4017,                0.92279,                0.57143,                0.70619,                0.32233,                 2.0631,                 1.9302,                 2.1299,              0.0011838,              0.0011838,              0.0011838
                     34,                 1.4032,                 1.3223,                 1.4042,                0.92145,                0.66667,                0.80294,                0.33029,                 2.0593,                 1.7653,                 2.0486,              0.0011833,              0.0011833,              0.0011833
                     35,                 1.3156,                 1.4071,                 1.4146,                0.72951,                0.61905,                0.72733,                0.30222,                 2.0492,                 1.8627,                  2.059,              0.0011585,              0.0011585,              0.0011585
                     36,                 1.4061,                  1.328,                 1.3924,                0.78201,                0.51311,                0.64883,                0.32356,                 1.9937,                 1.8023,                 2.1305,              0.0011337,              0.0011337,              0.0011337
                     37,                 1.3306,                 1.2611,                 1.3452,                0.92776,                0.61201,                0.74174,                0.36797,                  1.906,                 1.6537,                  2.068,               0.001109,               0.001109,               0.001109
                     38,                 1.3039,                 1.2566,                 1.3776,                0.87768,                 0.7619,                0.86777,                0.44939,                 1.7338,                 1.4132,                 2.0772,              0.0010842,              0.0010842,              0.0010842
                     39,                 1.3169,                 1.2634,                  1.349,                0.94038,                0.75162,                0.85105,                0.44682,                 1.6502,                 1.3903,                 1.9507,              0.0010595,              0.0010595,              0.0010595
                     40,                 1.3398,                  1.194,                 1.3623,                 0.7651,                 0.6205,                0.73468,                0.39089,                 1.6971,                 1.4169,                 1.8554,              0.0010347,              0.0010347,              0.0010347
                     41,                 1.3324,                 1.1159,                  1.371,                0.78551,                0.66667,                0.73445,                0.35841,                 1.7823,                 1.5678,                 1.8481,                0.00101,                0.00101,                0.00101
                     42,                 1.2872,                 1.1131,                 1.2949,                0.73011,                0.80952,                0.78867,                0.32431,                 1.7994,                 1.5968,                 1.9511,             0.00098525,             0.00098525,             0.00098525
                     43,                 1.3044,                 1.1639,                 1.3317,                 0.8058,                0.71429,                0.86662,                0.38319,                 1.6582,                 1.5246,                 1.8058,              0.0009605,              0.0009605,              0.0009605
                     44,                 1.2669,                 1.1788,                 1.3358,                 0.7512,                 0.7619,                0.87127,                0.40935,                 1.5784,                 1.4698,                 1.6839,             0.00093575,             0.00093575,             0.00093575
                     45,                 1.2638,                 1.0855,                 1.3125,                0.77178,                0.85714,                0.93147,                0.43423,                 1.5219,                 1.3932,                 1.7164,               0.000911,               0.000911,               0.000911
                     46,                 1.3257,                 1.0875,                 1.3289,                0.77108,                0.90476,                 0.8906,                0.36032,                 1.8863,                 1.3131,                 2.1848,             0.00088625,             0.00088625,             0.00088625
                     47,                 1.2706,                 1.1189,                 1.3157,                 0.8218,                0.90476,                0.90059,                0.35978,                 1.8765,                  1.336,                 2.1334,              0.0008615,              0.0008615,              0.0008615
                     48,                 1.2833,                 1.0444,                 1.3407,                0.84354,                0.85714,                0.91292,                0.36409,                 1.8658,                 1.4323,                 1.8492,             0.00083675,             0.00083675,             0.00083675
                     49,                 1.3448,                  1.071,                 1.2851,                0.89674,                0.85714,                0.90643,                 0.3802,                 1.8897,                 1.4393,                  1.921,               0.000812,               0.000812,               0.000812
                     50,                 1.3605,                 1.1045,                 1.3503,                0.93312,                0.90476,                0.95958,                0.39032,                 1.9543,                 1.2287,                 2.0769,             0.00078725,             0.00078725,             0.00078725
                     51,                 1.2239,                 1.0114,                 1.2705,                0.94723,                0.90476,                0.96767,                0.39363,                 1.9457,                 1.1711,                  1.996,              0.0007625,              0.0007625,              0.0007625
                     52,                  1.226,                 1.1255,                 1.3125,                0.84994,                0.85714,                0.84316,                0.37469,                 1.9635,                  1.058,                   1.91,             0.00073775,             0.00073775,             0.00073775
                     53,                 1.1821,                 1.0241,                  1.271,                0.85179,                0.85714,                 0.8347,                0.37485,                 1.9338,                 1.1139,                 1.9062,               0.000713,               0.000713,               0.000713
                     54,                  1.245,                 1.0164,                 1.2864,                0.88278,                0.85714,                0.92967,                0.44171,                 1.8208,                 1.0801,                 1.8599,             0.00068825,             0.00068825,             0.00068825
                     55,                 1.1474,                0.98513,                 1.2296,                0.89075,                0.85714,                0.93068,                0.44688,                 1.7785,                 1.0588,                 1.8245,              0.0006635,              0.0006635,              0.0006635
                     56,                 1.2122,                0.99078,                 1.3035,                0.90326,                0.88978,                0.95416,                0.44813,                 1.8451,                 1.0198,                  1.806,             0.00063875,             0.00063875,             0.00063875
                     57,                 1.2042,                 1.0702,                 1.3039,                0.90163,                0.95238,                0.97414,                0.43099,                 1.8948,                 1.0257,                 1.8099,               0.000614,               0.000614,               0.000614
                     58,                 1.1742,                 1.0125,                 1.2568,                0.80618,                0.80952,                0.84339,                0.41725,                 1.8403,                 1.0364,                 1.8061,             0.00058925,             0.00058925,             0.00058925
                     59,                 1.1699,                0.97788,                 1.2655,                0.76136,                 0.7619,                0.80622,                0.34348,                 1.9324,                 1.1607,                 1.9201,              0.0005645,              0.0005645,              0.0005645
                     60,                 1.1489,                0.93544,                 1.2201,                0.81929,                0.71429,                0.80265,                0.38589,                 1.9327,                 1.1164,                  1.877,             0.00053975,             0.00053975,             0.00053975
                     61,                 1.1669,                0.92884,                 1.2346,                0.74307,                0.95238,                 0.9232,                0.44997,                 1.7727,                 1.0505,                   1.73,               0.000515,               0.000515,               0.000515
                     62,                 1.1814,                0.92359,                 1.2324,                0.83349,                      1,                0.97899,                0.43173,                 1.7487,                 1.0281,                  1.794,             0.00049025,             0.00049025,             0.00049025
                     63,                 1.0993,                 0.8916,                 1.2328,                0.94332,                0.85714,                0.97556,                0.41823,                 1.8166,                 1.0549,                 1.8303,              0.0004655,              0.0004655,              0.0004655
                     64,                 1.0949,                0.94615,                 1.2372,                0.88981,                      1,                0.98283,                0.44348,                 1.8317,                 1.0841,                  1.728,             0.00044075,             0.00044075,             0.00044075
                     65,                  1.121,                0.91052,                 1.1991,                0.90581,                0.91626,                0.97195,                0.43166,                 1.8378,                 1.0638,                 1.7211,               0.000416,               0.000416,               0.000416
                     66,                 1.0566,                0.89359,                 1.1768,                0.94668,                      1,                0.99318,                0.43187,                  1.803,                 1.0494,                 1.6921,             0.00039125,             0.00039125,             0.00039125
                     67,                  1.063,                0.89504,                 1.2441,                0.94153,                      1,                0.99091,                 0.4274,                 1.7914,                 1.0072,                 1.6809,              0.0003665,              0.0003665,              0.0003665
                     68,                 1.0719,                0.87992,                 1.2254,                0.94382,                0.95238,                0.98438,                0.44878,                  1.715,                 1.0019,                 1.6497,             0.00034175,             0.00034175,             0.00034175
                     69,                   1.11,                0.93266,                 1.2027,                0.94338,                0.95238,                0.97717,                0.45202,                 1.6989,                0.98298,                 1.6687,               0.000317,               0.000317,               0.000317
                     70,                 1.1409,                0.93195,                 1.1991,                0.94468,                0.95238,                0.97468,                0.46418,                 1.6533,                0.94386,                 1.6892,             0.00029225,             0.00029225,             0.00029225
                     71,                0.96023,                 1.0251,                 1.1843,                 0.9438,                0.95238,                0.97595,                0.46734,                 1.6182,                 0.9361,                 1.6814,              0.0002675,              0.0002675,              0.0002675
                     72,                0.87835,                0.87637,                 1.1347,                0.94373,                0.95238,                0.97826,                0.49361,                 1.5785,                0.97551,                 1.5814,             0.00024275,             0.00024275,             0.00024275
                     73,                0.84621,                0.86533,                 1.0997,                0.94213,                0.95238,                0.98016,                0.49667,                 1.5858,                 1.0018,                 1.5637,               0.000218,               0.000218,               0.000218
                     74,                0.87692,                0.83746,                 1.1237,                0.94192,                0.95238,                0.98016,                0.45885,                 1.6619,                 1.0327,                 1.5836,             0.00019325,             0.00019325,             0.00019325
                     75,                0.86798,                 0.8304,                 1.1416,                0.94084,                0.95238,                0.98016,                0.45102,                  1.681,                 1.0494,                 1.5971,              0.0001685,              0.0001685,              0.0001685
                     76,                 0.8612,                0.84207,                   1.14,                 0.9536,                 0.9792,                0.98455,                0.43607,                 1.7311,                 1.0294,                 1.6543,             0.00014375,             0.00014375,             0.00014375
                     77,                0.87749,                  0.826,                 1.1122,                0.92438,                0.95238,                0.98247,                0.43222,                 1.7293,                 1.0062,                 1.6707,               0.000119,               0.000119,               0.000119
                     78,                0.84906,                0.80816,                 1.1347,                0.93959,                      1,                0.98455,                 0.4433,                 1.6936,                 0.9904,                 1.6719,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                0.75122,                0.76501,                 1.0681,                0.92469,                      1,                0.98227,                0.44097,                 1.7078,                0.97732,                 1.7066,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                0.79942,                0.77858,                 1.0946,                0.92344,                      1,                0.98227,                0.45039,                 1.7176,                 0.9523,                 1.7527,              4.475e-05,              4.475e-05,              4.475e-05
